Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,40.75,0,0,70.99,88.07777,3.318013,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.7031497,0,5.55294,40.75,0,0,70.978,88.07777,3.320343,0,0,0,0,0,0,89.9999,89.9999,0,0
0.02,S,0.02,0.010,0,0.7031497,0,10.96376,40.74989,0,0,70.966,88.07777,3.322672,0,0,0,0,0,0,89.9999,89.9999,0,0
0.03,S,0.03,0.010,0,0.7031497,0,242.4267,40.74955,0,0,70.95401,88.07777,3.325001,159.235127859034,159.235127858684,0.000334071942130112,1.5923510000035,1.592351,0.00000334072,89.9999,89.9999,0.007961755,0.0000000167036
0.04,S,0.04,0.010,0,0.7031497,0,473.8896,40.74431,0.000292821,0,70.94202,88.07777,3.32733,342.035662770456,342.035662769832,0.000653119050527891,5.01270800000972,5.012708,0.00000987191,89.9999,89.9999,0.04098705,0.00000008276675
0.05,S,0.05,0.010,0,0.7031498,0,501.1441,40.72948,0.002901811,0,70.93002,88.07777,3.329659,363.699407834328,363.699407833672,0.000690929417515854,8.64970200001628,8.649702,0.0000167812,89.9999,89.9999,0.1092991,0.0000002160323
0.05999999,S,0.05999999,0.010,0,0.70315,0,506.0874,40.70929,0.008640242,0,70.91802,88.07777,3.331989,367.798009889394,367.798009888732,0.000698082825350099,12.3276800000229,12.32768,0.00002376203,89.9999,89.9999,0.214186,0.0000004187484
0.06999999,S,0.06999999,0.01106861,0,0.6958742,0,488.7194,40.6882,0.01736872,0,70.90603,88.07777,3.334318,354.264786240706,354.264786240064,0.000674462899683253,15.8703300000293,15.87033,0.00003050666,89.9999,89.9999,0.3551761,0.0000006900918
0.07999999,S,0.07999999,0.01424944,0,0.6786591,0,482.5963,40.6676,0.02807349,0,70.89404,88.07777,3.336647,349.607787157497,349.607787156862,0.000666334898981469,19.3664100000357,19.36641,0.00003717001,89.9999,89.9999,0.5313598,0.000001028475
0.08999999,S,0.08999999,0.01738847,0,0.6659305,0,481.2925,40.64756,0.04102022,0,70.88203,88.07777,3.338976,348.753819012154,348.75381901152,0.000664844445634458,22.853950000042,22.85395,0.00004381846,89.9999,89.9999,0.7424616,0.000001433418
0.09999999,S,0.09999999,0.02051983,0,0.6558706,0,479.9888,40.6276,0.05626121,0,70.87004,88.07777,3.341305,347.896402345517,347.896402344885,0.000663347972853964,26.3329100000483,26.33291,0.00005045194,89.9999,89.9999,0.9883959,0.00000190477
0.11,S,0.11,0.0236435,0,0.6476213,0,478.685,40.6077,0.07375383,0,70.85805,88.07777,3.343635,347.03576483729,347.035764836659,0.000661845872912049,29.8032700000546,29.80327,0.0000570704,89.9999,89.9999,1.269077,0.000002442381
0.12,S,0.12,0.02675945,0,0.6406733,0,477.3812,40.58785,0.09346023,0,70.84605,88.07777,3.345964,346.172060998656,346.172060998026,0.00066033842611471,33.2649900000609,33.26499,0.00006367378,89.9999,89.9999,1.584418,0.000003046102
0.13,S,0.13,0.02986766,0,0.6347006,0,476.0774,40.56806,0.115346,0,70.83405,88.07777,3.348293,345.305308379332,345.305308378704,0.000658825657790165,36.7180400000672,36.71804,0.00007026204,89.9999,89.9999,1.934333,0.000003715782
0.14,S,0.14,0.03296809,0,0.6294836,0,474.7736,40.54832,0.1393793,0,70.82206,88.07777,3.350623,344.435507027739,344.435507027112,0.000657307568022332,40.1624000000735,40.1624,0.00007683512,89.9999,89.9999,2.318735,0.000004451267
0.15,S,0.15,0.03606073,0,0.6248673,0,473.4699,40.52863,0.1655304,0,70.81007,88.07777,3.352952,343.562703717855,343.562703717229,0.000655784238446617,43.5980300000798,43.59803,0.00008339296,89.9999,89.9999,2.737537,0.000005252407
0.16,S,0.16,0.03914555,0,0.620739,0,472.8672,40.509,0.1937709,0,70.79807,88.07777,3.355281,343.24375669737,343.243756696745,0.000655227575339289,47.030470000086,47.03047,0.00008994524,89.9999,89.9999,3.19068,0.000006119099
0.17,S,0.17,0.04222752,0,0.6170083,0,473.3163,40.48941,0.224125,0,70.78607,88.07777,3.35761,343.75808235964,343.758082359014,0.000656125241687968,50.4680500000923,50.46805,0.0000965065,89.9999,89.9999,3.678172,0.000007051357
0.18,S,0.18,0.04531411,0,0.6136037,0,473.7654,40.46982,0.2566587,0,70.77408,88.07777,3.35994,344.271220031862,344.271220031235,0.00065702083465928,53.9107600000985,53.91076,0.0001030767,89.9999,89.9999,4.200067,0.000008049273
0.19,S,0.19,0.04840533,0,0.6104773,0,474.2145,40.45021,0.2913732,0,70.76208,88.07777,3.362269,344.783287389004,344.783287388376,0.000657914559692457,57.3585900001048,57.35859,0.0001096558,89.9999,89.9999,4.756413,0.000009112935
0.2,S,0.2,0.05150116,0,0.6075907,0,474.6635,40.43058,0.3282697,0,70.75008,88.07777,3.364598,345.294269563602,345.294269562974,0.000658806390867851,60.8115300001111,60.81153,0.0001162439,89.9999,89.9999,5.347264,0.00001024243
0.21,S,0.21,0.05460161,0,0.6049128,0,475.1126,40.41094,0.3673506,0,70.73809,88.07777,3.366927,345.804212568678,345.804212568049,0.000659696408493542,64.2695700001174,64.26957,0.0001228409,89.9999,89.9999,5.97267,0.00001143786
0.22,S,0.22,0.05770664,0,0.602418,0,475.5617,40.39127,0.4086181,0,70.7261,88.07777,3.369256,346.31312240356,346.31312240293,0.000660584628372781,67.7327000001237,67.7327,0.0001294467,89.9999,89.9999,6.632681,0.0000126993
0.23,S,0.23,0.06081627,0,0.6000849,0,476.0108,40.37159,0.4520754,0,70.7141,88.07777,3.371586,346.820929916631,346.820929916,0.000661470919151555,71.20090000013,71.2009,0.0001360614,89.9999,89.9999,7.327349,0.00001402684
0.24,S,0.24,0.06393047,0,0.5978957,0,476.4599,40.35189,0.4977255,0,70.7021,88.07777,3.373915,347.327664649579,347.327664648947,0.000662355337719694,74.6741700001363,74.67417,0.0001426849,89.9999,89.9999,8.056725,0.00001542057
0.25,S,0.25,0.06704926,0,0.5958351,0,476.909,40.33217,0.545572,0,70.69011,88.07777,3.376244,347.833286890976,347.833286890344,0.000663237814739012,78.1525000001426,78.1525,0.0001493173,89.9999,89.9999,8.820858,0.00001688058
0.26,S,0.26,0.07017261,0,0.5938904,0,477.3581,40.31243,0.595619,0,70.67812,88.07777,3.378573,348.337828476959,348.337828476326,0.000664118405803111,81.635870000149,81.63587,0.0001559585,89.9999,89.9999,9.6198,0.00001840696
0.27,S,0.27,0.07330051,0,0.5920501,0,477.8073,40.29268,0.6478704,0,70.66611,88.07777,3.380903,348.841309728242,348.841309727608,0.000664997146378539,85.1242800001553,85.12428,0.0001626085,89.9999,89.9999,10.4536,0.00001999979
0.28,S,0.28,0.07643297,0,0.5903049,0,478.2563,40.2729,0.7023301,0,70.65412,88.07777,3.383232,349.343677894756,349.343677894121,0.000665873944399272,88.6177200001617,88.61772,0.0001692672,89.9999,89.9999,11.32231,0.00002165917
0.29,S,0.29,0.07956996,0,0.5886461,0,478.7055,40.25311,0.759003,0,70.64213,88.07777,3.385561,349.844977056348,349.844977055713,0.00066674887679937,92.116170000168,92.11617,0.0001759347,89.9999,89.9999,12.22598,0.00002338518
0.3,S,0.3,0.08271148,0,0.5870665,0,479.1546,40.23329,0.8178939,0,70.63013,88.07777,3.38789,350.322155041513,350.322155040749,0.000731794929971564,95.61939147228,95.6193914721044,0.000183252649136147,89.99989,89.99989,13.18217,0.00002518112
0.31,S,0.31,0.08585732,0,0.5855597,0,479.6037,40.21346,0.8790025,0,70.61813,88.07777,3.390219,350.820322726401,350.820322725631,0.000735217964940648,99.1275946211294,99.1275946209462,0.000190604828621219,89.99989,89.99989,14.17345,0.00002705041
0.32,S,0.32,0.08900767,0,0.5841198,0,480.0529,40.19361,0.9423381,0,70.60614,88.07777,3.392549,351.317429448588,351.317429447812,0.000738565731642355,102.64076883709,102.640768836899,0.00019799048577256,89.99989,89.99989,15.19986,0.00002899338
0.33,S,0.33,0.09216251,0,0.5827417,0,480.502,40.17374,1.007906,0,70.59415,88.07777,3.394878,351.813332156924,351.813332156142,0.000741843020082222,106.158902080023,106.158902079824,0.000205408915807567,89.99989,89.99989,16.26144,0.00003101038
0.3399999,S,0.3399999,0.09532185,0,0.5814209,0,480.9511,40.15385,1.075711,0,70.58215,88.07777,3.397207,352.308126218842,352.308126218054,0.000745053771404044,109.681983263465,109.681983263258,0.000212859453355075,89.99989,89.99989,17.35826,0.00003310172
0.3499999,S,0.3499999,0.09848566,0,0.5801532,0,481.4002,40.13394,1.145758,0,70.57015,88.07777,3.399536,352.801835476199,352.801835475406,0.000748202192020911,113.210001539369,113.210001539155,0.000220341475108048,89.99989,89.99989,18.49036,0.00003526773
0.3599999,S,0.3599999,0.1016539,0,0.579056,0,481.8494,40.11402,1.218307,0,70.55816,88.07777,3.401866,353.294225484058,353.294225483259,0.000751291442426984,116.742943715242,116.74294371502,0.000227854389364391,89.99989,89.99989,19.65779,0.00003750871
0.3699999,S,0.3699999,0.1048267,0,0.5790429,0,482.2986,40.09407,1.295464,0,70.54617,88.07777,3.404195,353.78342863017,353.783428629366,0.000754321090612267,120.280777922467,120.280777922237,0.00023539760010191,89.99989,89.99989,20.8606,0.00003982497
0.3799999,S,0.3799999,0.1080038,0,0.57903,0,482.7477,40.07411,1.375096,0,70.53416,88.07777,3.406524,354.271407894215,354.271407893406,0.000757297851679461,123.823491922223,123.823491921985,0.000242970578449435,89.99989,89.99989,22.09883,0.00004221681
0.3899999,S,0.3899999,0.1111854,0,0.5790176,0,483.1969,40.05413,1.457214,0,70.52217,88.07777,3.408853,354.758004330472,354.758004329657,0.000760224385900626,127.371071886233,127.371071885987,0.000250572822138518,89.99989,89.99989,23.37255,0.00004468453
0.3999999,S,0.3999999,0.1143714,0,0.5790056,0,483.5236,40.03413,1.541826,0,70.51018,88.07777,3.411183,355.14480669457,355.144806693751,0.000762909199162025,130.922519873798,130.922519873543,0.000258201913959615,89.99989,89.99989,24.68177,0.0000472284
0.4099999,S,0.4099999,0.117561,0,0.578994,0,483.5646,40.01411,1.628917,0,70.49818,88.07777,3.413512,355.3006132395,355.300613238676,0.000765093866117495,134.475525926777,134.475525926514,0.000265852852449778,89.99989,89.99989,26.02653,0.00004984867
0.4199999,S,0.4199999,0.1207519,0,0.5789827,0,483.6056,39.99409,1.718434,0,70.48618,88.07777,3.415841,355.454619724117,355.454619723289,0.000767231527354078,138.030072044568,138.030072044297,0.000273525167551829,89.99989,89.99989,27.40683,0.00005254557
0.4299999,S,0.4299999,0.1239443,0,0.5789719,0,483.6466,39.97407,1.810381,0,70.47419,88.07777,3.41817,355.606818201136,355.606818200304,0.0007693238957535,141.586140147095,141.586140146816,0.000281218406337407,89.99989,89.99989,28.82269,0.00005531928
0.4399998,S,0.4399998,0.1271381,0,0.5789614,0,483.6877,39.95404,1.90476,0,70.4622,88.07777,3.4205,355.757208670555,355.757208669719,0.000771373457268001,145.143712154283,145.143712153995,0.000288932140737672,89.99989,89.99989,30.27412,0.00005817004
0.4499998,S,0.4499998,0.1303333,0,0.5787243,0,483.7287,39.93401,2.000787,0,70.4502,88.07777,3.422829,355.906510361773,355.906510360933,0.000773382743324559,148.702777178349,148.702777178053,0.000296665967998053,89.99989,89.99989,31.76115,0.00006109803
0.4599998,S,0.4599998,0.1335299,0,0.578079,0,483.7697,39.91398,2.097688,0,70.4382,88.07777,3.425158,356.05530740032,356.055307399476,0.000775354982629437,152.263330172767,152.263330172463,0.000304419517651042,89.99989,89.99989,33.28379,0.00006410346
0.4699998,S,0.4699998,0.1367279,0,0.5774339,0,483.8108,39.89395,2.196804,0,70.42621,88.07777,3.427487,356.202522928924,356.202522928076,0.000777289674960537,155.825355322439,155.825355322126,0.00031219241422691,89.99989,89.99989,34.84204,0.00006718651
0.4799998,S,0.4799998,0.1399272,0,0.5767891,0,483.8518,39.87392,2.298126,0,70.41421,88.07777,3.429816,356.348045685578,356.348045684726,0.000779188230034679,159.388835699644,159.388835699323,0.000319984296353095,89.99989,89.99989,36.43593,0.0000703474
0.4899998,S,0.4899998,0.143128,0,0.5761445,0,483.8929,39.85388,2.401649,0,70.40221,88.07777,3.432146,356.49201474779,356.492014746934,0.000781051921144474,162.95375576744,162.95375576711,0.000327794815389961,89.99989,89.99989,38.06546,0.00007358629
0.4999998,S,0.4999998,0.14633,0,0.5755002,0,483.934,39.83385,2.507369,0,70.39022,88.07777,3.434475,356.634338721769,356.63433872091,0.000782882142848495,166.520099074943,166.520099074605,0.000335623636643458,89.99989,89.99989,39.73066,0.00007690339
0.5099998,S,0.5099998,0.1495334,0,0.5748562,0,483.975,39.81381,2.615275,0,70.37823,88.07777,3.436804,356.774997739301,356.774997738438,0.000784680122964618,170.087848972591,170.087848972244,0.000343470437697714,89.99989,89.99989,41.43154,0.00008029886
0.5199998,S,0.5199998,0.1527381,0,0.5742124,0,484.0161,39.79377,2.725365,0,70.36623,88.07777,3.439133,356.914194456181,356.914194455315,0.000786447074152472,173.656990837376,173.656990837021,0.000351334908263454,89.99989,89.99989,43.16811,0.00008377289
0.5299998,S,0.5299998,0.1559441,0,0.573569,0,484.0572,39.77373,2.837631,0,70.35423,88.07777,3.441463,357.051710322042,357.051710321172,0.000788184027172741,177.227507860789,177.227507860425,0.000359216748359009,89.99989,89.99989,44.94038,0.00008732564
0.5399998,S,0.5399998,0.1591514,0,0.5729257,0,484.0982,39.75368,2.952067,0,70.34224,88.07777,3.443792,357.187636730672,357.187636729799,0.000789891906678395,180.799384148258,180.799384147885,0.000367115667249238,89.99989,89.99989,46.74838,0.00009095731
0.5499998,S,0.5499998,0.16236,0,0.5722829,0,484.1393,39.73364,3.068666,0,70.33025,88.07777,3.446121,357.322001497575,357.322001496698,0.000791571788904853,184.372604083365,184.372604082984,0.000375031384961356,89.99989,89.99989,48.59211,0.00009466804
0.5599998,S,0.5599998,0.1655699,0,0.5716403,0,484.1804,39.71359,3.187423,0,70.31824,88.07777,3.44845,357.454741044459,357.454741043579,0.000793224537872101,187.947151413912,187.947151413522,0.000382963630162778,89.99989,89.99989,50.47158,0.00009845802
0.5699998,S,0.5699998,0.168781,0,0.570998,0,484.2215,39.69354,3.30833,0,70.30625,88.07777,3.45078,357.585922923259,357.585922922376,0.000794851032758372,191.523010563218,191.523010562819,0.000390912140312699,89.99989,89.99989,52.38681,0.0001023274
0.5799997,S,0.5799997,0.1719934,0,0.5703561,0,484.2625,39.67349,3.43138,0,70.29426,88.07777,3.453109,357.715523292117,357.71552329123,0.000796452198216632,195.100165716184,195.100165715776,0.000398876662116844,89.99988,89.99988,54.33781,0.0001062763
0.5899997,S,0.5899997,0.175207,0,0.5697144,0,484.3036,39.65344,3.556567,0,70.28226,88.07777,3.455438,357.843510361885,357.843510360995,0.000798028640576696,198.678600739819,198.678600739402,0.000406856948344238,89.99988,89.99988,56.32459,0.000110305
0.5999997,S,0.5999997,0.1784218,0,0.5690731,0,484.3447,39.63339,3.683887,0,70.27026,88.07777,3.457767,357.969923868996,357.969923868103,0.00079958096616838,202.258299898495,202.25829989807,0.000414852757827202,89.99988,89.99988,58.34718,0.0001144136
0.6099997,S,0.6099997,0.1816378,0,0.5684322,0,484.3858,39.61333,3.81333,0,70.25827,88.07777,3.460097,358.094716129733,358.094716128837,0.000801110054169913,205.839246979752,205.839246979318,0.000422863858189839,89.99988,89.99988,60.40557,0.0001186021
0.6199997,S,0.6199997,0.184855,0,0.5677916,0,484.4269,39.59328,3.944889,0,70.24628,88.07777,3.462426,358.218022247961,358.218022247062,0.000802616632177075,209.421427122164,209.421427121721,0.000430890024332211,89.99988,89.99988,62.49978,0.0001228709
0.6299997,S,0.6299997,0.1880733,0,0.5671514,0,484.468,39.57322,4.078561,0,70.23428,88.07777,3.464755,358.339726988029,358.339726987127,0.000804101261044943,213.004824311949,213.004824311497,0.00043893103676293,89.99988,89.99988,64.62983,0.00012722
0.6399997,S,0.6399997,0.1912929,0,0.5665116,0,484.5091,39.55316,4.214334,0,70.22228,88.07777,3.467084,358.459842270869,358.459842269964,0.000805564486470351,216.589422654536,216.589422654075,0.000446986681447576,89.99988,89.99988,66.79572,0.0001316496
0.6499997,S,0.6499997,0.1945135,0,0.5658721,0,484.5502,39.5331,4.352205,0,70.21029,88.07777,3.469414,358.578415780195,358.578415779287,0.000807006854150132,220.175206732189,220.175206731719,0.000455056749808697,89.99988,89.99988,68.99747,0.0001361598
0.6599997,S,0.6599997,0.1977354,0,0.565233,0,484.5913,39.51303,4.492169,0,70.19829,88.07777,3.471743,358.695459436938,358.695459436027,0.000808428985572346,223.762161246384,223.762161245905,0.000463141039483722,89.99988,89.99988,71.2351,0.0001407508
0.6699997,S,0.6699997,0.2009583,0,0.5645943,0,484.6324,39.49297,4.634212,0,70.18629,88.07777,3.474072,358.810917610095,358.810917609181,0.000809831259693128,227.350270342284,227.350270341796,0.000471239351899642,89.99988,89.99988,73.50861,0.0001454227
0.6799996,S,0.6799996,0.2041824,0,0.563956,0,484.6736,39.4729,4.778332,0,70.1743,88.07777,3.476401,358.924814141523,358.924814140606,0.000811214343475273,230.939518403473,230.939518402976,0.000479351495153074,89.99988,89.99988,75.818,0.0001501757
0.6899996,S,0.6899996,0.2074075,0,0.5633181,0,484.7147,39.45283,4.924522,0,70.16231,88.07777,3.47873,359.037113268436,359.037113267516,0.000812578555241935,234.529889455907,234.5298894554,0.000487477280523868,89.99988,89.99988,78.1633,0.0001550098
0.6999996,S,0.6999996,0.2106338,0,0.5626807,0,484.4587,39.43276,5.072776,0,70.15031,88.07777,3.48106,358.905545946263,358.905545945341,0.000813420383556713,238.118944835148,238.118944834632,0.000495611484177622,89.99988,89.99988,80.54449,0.0001599253
0.7099996,S,0.7099996,0.2138589,0,0.562044,0,484.1697,39.4127,5.22298,0,70.13831,88.07777,3.483389,358.745296868383,358.745296867459,0.000814186193270968,241.706397723646,241.706397723121,0.000503753345928347,89.99988,89.99988,82.96155,0.0001649221
0.7199996,S,0.7199996,0.2170827,0,0.5614083,0,483.8807,39.39264,5.375113,0,70.12632,88.07777,3.485718,358.583128520899,358.583128519973,0.000814932554956415,245.292228928705,245.292228928171,0.00051190267129576,89.99988,89.99988,85.41447,0.0001700004
0.7299996,S,0.7299996,0.2203051,0,0.5607736,0,483.5917,39.3726,5.529168,0,70.11432,88.07777,3.488047,358.419128323957,358.419128323029,0.000815659574720772,248.876420131831,248.876420131288,0.000520059266860654,89.99988,89.99988,87.90323,0.0001751602
0.7399996,S,0.7399996,0.2235262,0,0.5601397,0,483.3027,39.35257,5.685127,0,70.10233,88.07777,3.490376,358.25332409306,358.25332409213,0.000816368010476308,252.458953292686,252.458953292133,0.000528222946782945,89.99988,89.99988,90.42782,0.0001804016
0.7499996,S,0.7499996,0.2267458,0,0.5595068,0,483.0138,39.33255,5.842978,0,70.09033,88.07777,3.492706,358.085707880921,358.085707879989,0.000817058135071439,256.039810291456,256.039810290894,0.000536393527951033,89.99988,89.99988,92.98822,0.0001857247
0.7599996,S,0.7599996,0.229964,0,0.5588748,0,482.7248,39.31254,6.002717,0,70.07834,88.07777,3.495035,357.916208161965,357.916208161031,0.000817730084930373,259.618972293075,259.618972292504,0.00054457082861756,89.99988,89.99988,95.58441,0.0001911295
0.7699996,S,0.7699996,0.2331807,0,0.5582438,0,482.4358,39.29255,6.164323,0,70.06634,88.07777,3.497364,357.744908382696,357.74490838176,0.000818384602807134,263.196421296939,263.196421296359,0.000552754674462708,89.99988,89.99988,98.21638,0.0001966161
0.7799996,S,0.7799996,0.236396,0,0.5576138,0,482.1468,39.27257,6.32779,0,70.05434,88.07777,3.499693,357.571832384974,357.571832384036,0.000819021779651193,266.772139540866,266.772139540276,0.000560944892076154,89.99988,89.99988,100.8841,0.0002021846
0.7899995,S,0.7899995,0.2396099,0,0.5569847,0,481.8578,39.2526,6.493105,0,70.04235,88.07777,3.502023,357.396916590509,357.396916589569,0.000819642039893421,270.346108626886,270.346108626287,0.000569141312291884,89.99988,89.99988,103.5876,0.0002078351
0.7999995,S,0.7999995,0.2428223,0,0.5563566,0,481.5689,39.23264,6.660255,0,70.03035,88.07777,3.504352,357.22021265666,357.220212655718,0.000820245777648197,273.918310673607,273.918310672999,0.000577343769885027,89.99988,89.99988,106.3267,0.0002135675
0.8099995,S,0.8099995,0.2460331,0,0.5557295,0,481.2799,39.21269,6.829229,0,70.01836,88.07777,3.506681,357.041748398928,357.041748397985,0.000820833265763939,277.488728077792,277.488728077174,0.000585552102359196,89.99988,89.99988,109.1016,0.000219382
0.8199995,S,0.8199995,0.2492425,0,0.5551034,0,480.9909,39.19276,7.000017,0,70.00636,88.07777,3.509011,356.861436397169,356.861436396224,0.000821404898355025,281.057342361999,281.057342361372,0.000593766151159148,89.99988,89.99988,111.9122,0.0002252785
0.8299995,S,0.8299995,0.2524503,0,0.5545572,0,480.702,39.17283,7.173625,0,69.99437,88.07777,3.51134,356.678621000272,356.678620999325,0.000821959235388146,284.624128492278,284.624128491641,0.000601985743329307,89.99988,89.99988,114.7584,0.0002312573
0.8399995,S,0.8399995,0.2556566,0,0.5540357,0,480.4131,39.15292,7.349388,0,69.98237,88.07777,3.513669,356.493643941544,356.493643940595,0.000822497413731704,288.18906485201,288.189064851364,0.000610210717282782,89.99988,89.99988,117.6403,0.0002373183
0.8499995,S,0.8499995,0.2588614,0,0.5535142,0,480.1241,39.13303,7.526984,0,69.97038,88.07777,3.515998,356.306827086072,356.306827085121,0.000823020312563931,291.752133043229,291.752133042574,0.000618440920224462,89.99988,89.99988,120.5579,0.0002434615
0.8599995,S,0.8599995,0.2620645,0,0.5529929,0,479.8351,39.11314,7.706399,0,69.95838,88.07777,3.518327,356.118241959432,356.11824195848,0.000823528416948679,295.313315383225,295.31331538256,0.000626676204209876,89.99988,89.99988,123.511,0.0002496871
0.8699995,S,0.8699995,0.265266,0,0.5524716,0,479.5462,39.09327,7.887626,0,69.94639,88.07777,3.520657,355.927860746123,355.927860745169,0.000824021802677174,298.87259391113,298.872593910456,0.000634916422052464,89.99988,89.99988,126.4997,0.0002559951
0.8799995,S,0.8799995,0.2684659,0,0.5519505,0,479.2573,39.0734,8.070648,0,69.93439,88.07777,3.522986,355.735739077146,355.735739076191,0.000824500924496777,302.429951222389,302.429951221705,0.000643161431113142,89.99988,89.99988,129.524,0.0002623855
0.8899994,S,0.8899994,0.2716643,0,0.5514293,0,478.9683,39.05355,8.255457,0,69.92239,88.07777,3.525315,355.541825295145,355.541825294188,0.000824965812723979,305.98536939587,305.985369395177,0.000651411089055988,89.99988,89.99988,132.5839,0.0002688583
0.8999994,S,0.8999994,0.2748609,0,0.5509084,0,478.6794,39.03371,8.44204,0,69.9104,88.07777,3.527644,355.346167083834,355.346167082875,0.000825416800840179,309.538830987283,309.53883098658,0.000659665256879895,89.99988,89.99988,135.6792,0.0002754137
0.9099994,S,0.9099994,0.2780559,0,0.5503876,0,478.3905,39.01388,8.630386,0,69.8984,88.07777,3.529974,355.148720733138,355.148720732178,0.00082585426780151,313.090318115232,313.09031811452,0.000667923799373317,89.99988,89.99988,138.8102,0.0002820517
0.9199994,S,0.9199994,0.2812493,0,0.5498669,0,478.1015,38.99407,8.820486,0,69.88641,88.07777,3.532303,354.94949816399,354.949498163028,0.000826277940759555,316.639813017535,316.639813016813,0.000676186578596225,89.99988,89.99988,141.9765,0.0002887722
0.9299994,S,0.9299994,0.284441,0,0.5493464,0,477.8126,38.97427,9.012324,0,69.87441,88.07777,3.534632,354.748531165532,354.748531164569,0.000826688577626584,320.187298249898,320.187298249166,0.000684453464187712,89.99988,89.99988,145.1784,0.0002955754
0.9399994,S,0.9399994,0.2876309,0,0.548826,0,477.5237,38.95448,9.205893,0,69.86242,88.07777,3.536961,354.54578794862,354.545787947655,0.000827086026820143,323.732756050136,323.732756049395,0.000692724324271045,89.99988,89.99988,148.4157,0.0003024613
0.9499994,S,0.9499994,0.2908192,0,0.5483058,0,477.2348,38.9347,9.401176,0,69.85042,88.07777,3.53929,354.341332091542,354.341332090576,0.000827470652138119,327.27616929185,327.276169291099,0.000700999030607472,89.99988,89.99988,151.6885,0.0003094299
0.9599994,S,0.9599994,0.2940057,0,0.5477858,0,476.9459,38.91493,9.598167,0,69.83842,88.07777,3.54162,354.135167567944,354.135167566976,0.000827842605162968,330.817520888373,330.817520887613,0.000709277456474064,89.99988,89.99988,154.9967,0.0003164813
0.9699994,S,0.9699994,0.2971905,0,0.5472659,0,476.657,38.89517,9.796849,0,69.82643,88.07777,3.543949,353.927242720463,353.927242719494,0.000828202128426615,334.356793236469,334.356793235699,0.000717559477573212,89.99988,89.99988,158.3403,0.0003236155
0.9799994,S,0.9799994,0.3003734,0,0.5467463,0,476.368,38.87543,9.997211,0,69.81443,88.07777,3.546278,353.717640995605,353.717640994635,0.00082854941898625,337.893969567363,337.893969566583,0.000725844971577879,89.99988,89.99988,161.7192,0.0003308325
0.9899994,S,0.9899994,0.3035547,0,0.5462269,0,475.8161,38.8557,10.19925,0,69.80244,88.07777,3.548607,353.288539200991,353.28853920002,0.000828416359908406,341.426854880406,341.426854879617,0.000734129134991798,89.99988,89.99988,165.1335,0.0003381324
0.9999993,S,0.9999993,0.3067322,0,0.5457081,0,475.1984,38.83598,10.40281,0,69.79044,88.07777,3.550937,352.803122936734,352.803122935762,0.00082815315213583,344.954886030916,344.954886030117,0.00074241066632805,89.99988,89.99988,168.583,0.0003455151
1.009999,S,1.009999,0.3099055,0,0.5451897,0,474.5807,38.81629,10.60787,0,69.77845,88.07777,3.553266,352.315779455587,352.315779454614,0.000827876468683121,348.478043746723,348.478043745914,0.000750689430829836,89.99988,89.99988,172.0678,0.0003529806
1.019999,S,1.019999,0.3130745,0,0.5446722,0,473.963,38.79663,10.81439,0,69.76645,88.07777,3.555595,351.826437231972,351.826437230999,0.000827586430816243,351.996308040403,351.996308039585,0.000758965294953018,89.99988,89.99988,175.5878,0.0003605289
1.029999,S,1.029999,0.3162392,0,0.5441552,0,473.3453,38.77699,11.02237,0,69.75446,88.07777,3.557924,351.335147923252,351.335147922278,0.000827283311383612,355.509659441106,355.509659440278,0.000767238127881942,89.99988,89.99988,179.1429,0.0003681599
1.039999,S,1.039999,0.3193996,0,0.5436389,0,472.7276,38.75738,11.23178,0,69.74246,88.07777,3.560254,350.841883713925,350.84188371295,0.000826967352917154,359.018078199826,359.018078198988,0.000775507801226272,89.99988,89.99988,182.733,0.0003758736
1.049999,S,1.049999,0.3225557,0,0.5431234,0,472.1099,38.73779,11.44261,0,69.73046,88.07777,3.562583,350.346763813281,350.346763812306,0.000826638767632304,362.521545759649,362.521545758802,0.000783774188717827,89.99987,89.99987,186.3582,0.0003836701
1.059999,S,1.059999,0.3257075,0,0.5426085,0,471.4922,38.71823,11.65485,0,69.71847,88.07777,3.564912,349.849736563962,349.849736562986,0.000826297555529062,366.020043047091,366.020043046234,0.000792037164088426,89.99987,89.99987,190.0184,0.0003915491
1.069999,S,1.069999,0.3288549,0,0.5420943,0,470.8745,38.69869,11.86849,0,69.70647,88.07777,3.567241,349.350730440392,349.350730439416,0.000825943913664618,369.513550273409,369.513550272542,0.000800296603040459,89.99987,89.99987,193.7136,0.0003995108
1.079999,S,1.079999,0.331998,0,0.5415808,0,470.2568,38.67918,12.0835,0,69.69448,88.07777,3.569571,348.849864651864,348.849864650887,0.00082557794814669,373.002048841953,373.002048841077,0.000808552382337395,89.99987,89.99987,197.4436,0.000407555
